place_all, race_no, first, last, age, nation, club, time, medal, category
6392 / 5516 / 2574,58974,Willem, Le Roux,26,RSA,ATC Running Club,10:25:13,Bronze,M SEN
6393 / 5517 / 2163,36784,Jacob, Modimoeng,42,RSA,Nissan Running Club,10:25:17,Bronze,M VET
6394 / 5518 / 689,12251,Vusmuzi, Sibanyoni,51,RSA,Jeppe Quondam Athletic Club,10:25:20,Bronze,M MAS
6394 / 877 / 352,39124,Charmaine, Van Der Merwe,48,RSA,Middelburg Marathon Club,10:25:20,Bronze,F VET
6396 / 5519 / 2575,49361,Lebohang, Nyaka,32,RSA,Anglo American Thermal Coal Athletic Club,10:25:22,Bronze,M SEN
6397 / 5520 / 2576,30405,Kiti,Sydwell  Ledwaba,36,RSA,Midrand Striders,10:25:22,Bronze,M SEN
6398 / 5521 / 2577,23181,Etienne, Van Deventer,37,RSA,Pentagon Pistols Athletic Club,10:25:27,Bronze,M SEN
6399 / 878 / 432,26427,Carla, Smith,35,RSA,Jeppe Quondam Athletic Club,10:25:27,Bronze,F SEN
6400 / 5522 / 2578,32486,Riaan, Van Zyl,28,RSA,Team Vitality - CG,10:25:29,Bronze,M SEN
6401 / 5523 / 690,15997,Pieter,Adriaan  Jansen Van Rensburg,52,RSA,Pretoria Marathon Club,10:25:31,Bronze,M MAS
6402 / 5524 / 2164,30718,Mario, Mesa,49,COL,NEW BALANCE COLOMBIA,10:25:31,Bronze,M VET
6403 / 879 / 433,27439,Carla, Smith,35,RSA,Pretoria Marathon Club,10:25:32,Bronze,F SEN
6404 / 5525 / 2579,30261,Nhlanhla, Mohlomi,37,RSA,Spar Chesterville Athletic Club,10:25:32,Bronze,M SEN
6405 / 5526 / 691,27403,Selvan, Naidoo,50,RSA,Benoni Northerns Athletics Club,10:25:32,Bronze,M MAS
6406 / 880 / 353,5746,Gail, Langley,48,RSA,Buffalo Road Runners,10:25:32,Bronze,F VET
6407 / 881 / 434,36777,Marissa, Drouillard,39,USA,Cape Multisport Club,10:25:35,Bronze,F SEN
6408 / 5527 / 2580,10717,Chris, Nuttall,32,RSA,ATC Running Club,10:25:36,Bronze,M SEN
6409 / 5528 / 692,28861,Errol, Mccauley,53,RSA,Fit 2000 Bedfordview,10:25:37,Bronze,M MAS
6410 / 882 / 354,15378,Sibongile, Shongwe,43,RSA,Nelspruit Marathon Club,10:25:39,Bronze,F VET
